Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
11-11-2010,235.4384003,242.3932025,234.588137,241.1286864,12690058
12-11-2010,231.5031891,237.0735688,230.4457993,235.4929199,19131902
15-11-2010,229.9443512,232.822189,226.347043,232.647779,16084932
16-11-2010,224.6682739,230.8818045,223.80711,230.8818045,19833309
18-11-2010,225.2024384,228.876051,221.0709849,228.876051,22776798
19-11-2010,217.2011414,225.8673852,215.2062689,225.8673852,24826481
22-11-2010,220.6894531,221.6051348,217.4082775,218.7818,18956753
23-11-2010,217.059433,219.1088087,212.568259,219.0325043,33113827
24-11-2010,217.1575623,221.8994654,214.9773644,217.8007137,19703855
25-11-2010,213.5493164,218.6727554,212.1322061,218.4547429,29112802
26-11-2010,209.8103027,215.9257278,208.927323,214.7484312,30639363
29-11-2010,217.6698761,218.5528558,209.8212079,211.3691403,23409097
30-11-2010,214.8792419,219.9154761,213.8981566,217.9751067,30483669
01-12-2010,215.5769196,217.4518854,214.3233185,214.7484574,18726828
02-12-2010,220.4496155,220.9510588,216.9395125,217.800691,24834141
03-12-2010,219.3050079,223.2511356,217.5826512,221.0709527,19641270
06-12-2010,222.4118042,224.5592856,220.8529711,221.4743213,17790259
07-12-2010,224.7227783,226.6740483,222.3790858,222.3790858,22397973
08-12-2010,222.4990082,224.0687419,220.4496324,223.4473917,16997335
09-12-2010,214.6394348,225.3986574,213.3858193,223.3710829,31716183
10-12-2010,223.2293549,224.5592747,213.5166216,215.1408729,26529301
13-12-2010,227.1209869,228.0475691,220.1988867,223.2620495,16834458
14-12-2010,230.0642395,231.0998279,227.1754867,227.3935138,20081132
15-12-2010,229.7699127,231.9719116,225.8673873,229.791714,21436026
16-12-2010,230.4130707,231.0998392,226.7503589,230.5983959,15530788
20-12-2010,230.3912811,232.8439946,227.7423564,227.8295614,15858100
21-12-2010,233.9667969,234.3483333,230.7183231,231.0780583,16089753
22-12-2010,230.2386627,234.370116,228.5599228,233.8904739,15132141
23-12-2010,230.9690247,232.12452,229.0286553,230.6201901,14589936
24-12-2010,231.0344391,232.0809282,228.9196596,229.5737117,9452996
27-12-2010,230.0642395,233.018396,229.1703592,230.7291921,5782048
28-12-2010,228.4618073,231.0344274,227.229993,230.2931558,8857349
29-12-2010,228.6144257,230.0097493,228.1129824,228.5490219,11184510
30-12-2010,229.1812897,230.1732757,228.1020986,229.4429192,14561753
31-12-2010,230.8164063,232.5169619,229.6173084,230.6746981,9973432
03-01-2011,230.1405487,232.5169576,229.4864967,232.1899243,10411256
04-01-2011,234.8279419,235.4383914,230.5111783,231.0998265,22021878
05-01-2011,234.5445404,237.6404052,233.2800243,235.4602075,25943243
06-01-2011,236.6811218,237.9456234,234.2720109,235.0241686,21763180
07-01-2011,232.2771301,237.1498548,230.663794,235.7436306,17875107
10-01-2011,225.3114319,233.3781271,222.640706,232.2771349,18478415
11-01-2011,221.0164795,228.6362349,217.7135027,226.7394679,21147094
12-01-2011,224.7337036,225.7910934,218.6727811,222.5208184,23195000
13-01-2011,221.3652954,226.5541381,220.4387132,224.5592657,24336418
14-01-2011,218.3457489,224.5156773,217.582676,221.0818786,19111808
17-01-2011,217.5608673,219.7628663,216.2854651,218.6727601,14046519
18-01-2011,216.8959198,219.7628715,215.8385301,219.076103,14871527
19-01-2011,213.6910553,219.1088116,212.5682618,217.931515,23491557
20-01-2011,211.4454498,213.1351049,208.1097712,213.1351049,41343304
21-01-2011,215.1408691,216.3835695,212.1322094,212.568249,19528676
24-01-2011,211.8269806,217.1248298,210.1918432,216.9504198,22242712
